Time (UTC +02:00 yyyy-MM-dd HH:mm:ss);Frequency (A) (Hz)
2026-05-13 10:24:41;180288,47
2026-05-13 10:24:41;168918,92
2026-05-13 10:24:41;203804,34
2026-05-13 10:24:41;115740,75
2026-05-13 10:24:41;132978,73
2026-05-13 10:24:41;NaN
2026-05-13 10:24:41;367647,06
2026-05-13 10:24:41;97656,25
2026-05-13 10:24:41;294811,3
2026-05-13 10:24:41;231481,47
2026-05-13 10:24:41;191326,52
2026-05-13 10:24:41;71839,08
2026-05-13 10:24:41;178571,44
2026-05-13 10:24:41;290697,7
2026-05-13 10:24:41;403225,78
2026-05-13 10:24:41;176886,8
2026-05-13 10:24:41;154958,67
2026-05-13 10:24:41;132042,25
2026-05-13 10:24:41;192307,69
2026-05-13 10:24:41;NaN
2026-05-13 10:24:41;267094,03
2026-05-13 10:24:41;133928,56
2026-05-13 10:24:41;64432,992
2026-05-13 10:24:41;192307,69
2026-05-13 10:24:41;97656,25
2026-05-13 10:24:41;151209,67
2026-05-13 10:24:41;292056,1
2026-05-13 10:24:41;245098,03
2026-05-13 10:24:41;277777,78
2026-05-13 10:24:41;307377,06
2026-05-13 10:24:41;179856,12
2026-05-13 10:24:41;NaN
2026-05-13 10:24:41;277777,78
2026-05-13 10:24:41;290697,7
2026-05-13 10:24:41;147058,83
2026-05-13 10:24:41;244140,62
2026-05-13 10:24:41;162337,67
2026-05-13 10:24:41;199044,58
2026-05-13 10:24:41;245098,03
2026-05-13 10:24:41;156250
2026-05-13 10:24:41;362318,84
2026-05-13 10:24:41;151209,67
2026-05-13 10:24:41;93283,58
2026-05-13 10:24:41;263157,9
2026-05-13 10:24:41;210674,14
2026-05-13 10:24:41;178571,44
2026-05-13 10:24:41;229779,42
2026-05-13 10:24:41;NaN
2026-05-13 10:24:41;240384,61
2026-05-13 10:24:41;271739,12
2026-05-13 10:24:41;161637,92
2026-05-13 10:24:41;38580,25
2026-05-13 10:24:41;97656,25
2026-05-13 10:24:41;165929,2
2026-05-13 10:24:41;130208,32
2026-05-13 10:24:41;117924,54
2026-05-13 10:24:41;120192,305
2026-05-13 10:24:41;137362,62
2026-05-13 10:24:41;198412,7
2026-05-13 10:24:41;145348,84
2026-05-13 10:24:41;245098,03
2026-05-13 10:24:41;168918,92
2026-05-13 10:24:41;124172,195
2026-05-13 10:24:41;260416,67
2026-05-13 10:24:41;183823,52
2026-05-13 10:24:41;145348,84
2026-05-13 10:24:41;260416,67
2026-05-13 10:24:41;100806,445
2026-05-13 10:24:41;182481,77
2026-05-13 10:24:41;82781,46
2026-05-13 10:24:41;342465,75
2026-05-13 10:24:41;297619,06
2026-05-13 10:24:41;286697,25
2026-05-13 10:24:41;172018,34
2026-05-13 10:24:41;248015,86
2026-05-13 10:24:41;193298,97
2026-05-13 10:24:41;357142,88
2026-05-13 10:24:41;NaN
2026-05-13 10:24:41;260416,67
2026-05-13 10:24:41;260416,67
2026-05-13 10:24:41;160256,4
2026-05-13 10:24:41;120656,375
2026-05-13 10:24:41;125000
2026-05-13 10:24:41;367647,03
2026-05-13 10:24:41;260416,64
2026-05-13 10:24:41;235849,05
2026-05-13 10:24:41;235849,05
2026-05-13 10:24:41;367647,06
2026-05-13 10:24:41;187500
2026-05-13 10:24:41;156250,02
2026-05-13 10:24:41;108695,65
2026-05-13 10:24:41;250000
2026-05-13 10:24:41;73529,414
2026-05-13 10:24:41;201612,9
